11,RF signal detection using Deep Learning  ,RADX Technologies,"Architect, desing and develop Deep Learning model for detection and classifications of RF signals and develop use cases for locating position of RF source using Tensorflow-Keras framwork in python ",Work from home,"Background in Deep Learning, Computer Vision and Tensorflow development in python",Deep Learning framework in tensorflow with use case,To be discussed during the interview,Electrical Engineering,State of the art technology development and consulting job in RADX,"1st year Mtech, 1st year Ph.D, Preferable final year M.Tech and Ph.D students are prefered",15000
12,Developing a specialised Ed-Tech Platform,MicroC,"Development of an AI driven Ed-Tech Platform, focusing on Analytics, Big Data and Video solutions",Work from home,"Microsoft Office proficient, Coding skills required","Development of a Quality Software product, as per the specifications discussed during the on-boarding.",6,ANY BRANCH,"Mentoring from IIT & IIM Alumni, Industry experts and CTOs with 10+ years of Technology experience, Product Design, Data modelling and Big Data Analysis","2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D","12,500"
13,Digital Food Platform ,UdyogYantra Technologies,"Using IoT, AI to create traceability from Farm to Fork",Work from home,15-20 hours per week,"Software Modules (SaaS) , Industrial Designs, Marketing Assignments ",10,"Computer Science Engineering, Humanities and Social Sciences, Industrial Engineering and Operations Research, Master of Management","Full Product Design Exposure, Real Customer Interactions ","3rd year UG, 1st year MSc, 1st year Mtech",10000
14,Browser plugin for cyber threat detection,Cyble,"Build a browser plug-in that will automatically read and extract Indicators of Compromise (IOC) from a web page, word document or a pdf that is opened within the browser. IOCs include IP address, Hash, URL, Email id, File name with extension. Analyze the IOCs after extraction. This is not a machine learning/AI project.",Work from home,Chrome browser plugin development,Code,6,"Computer Science Engineering, Electrical Engineering",Working on real value addition problem with cyber security experts.,"3rd year UG, 1st year Mtech, 1st year Ph.D",10000
15,Graph Neural Networks and their Applications,IIT Gandhinagar,This project will explore the expressivity and representational power of Graph Neural Networks.,Work from home,Knowledge of Algorithms and Deep Learning,Manuscript communicated to a journal or a conference,5,"Applied Statistics and Informatics, Computer Science Engineering, Electrical Engineering, Mathematics",Get a working knowledge of GNNs and their applications. A publication would help them in their career.,"2nd year UG, 3rd year UG, 1st year MSc",8000
16,Industry Analysis,Gratize Venture,Industry deep dive to suggest good investment opportunities(secondary research and management role),Work from home,Analytical Skills,Project Report,8,ANY BRANCH,"Data Analytics,Stipend, Certificate, Goodies, etc",3rd year UG,10000
17,Data Analytics,Pashushala.com,Devise a business expansion strategy based on secondary research,Work from home,Research,Project Report,8,"Applied Statistics and Informatics, Chemical Engineering, Civil Engineering, Computer Science Engineering, Electrical Engineering, Energy Science Engineering, Industrial Engineering and Operations Research, Mathematics, Mechanical Engineering","Critical thinking, Data Analysis, GTM Strategy , Stipend, Certificate, Goodies, etc",3rd year UG,10000
18,Enhancing Customer Experience of a web based platform,Pashushala.com,Improve customer experience of Pashushala.com with the help of technology (qualitative and quantitive research and data analytics ),Work from home,IT Code Stack,"Programs, Report",8,Computer Science Engineering,"Chance to work with India's first livestock platform, PPO, Stipend, Certificate, Goodies, etc",3rd year UG,10000
19,Computer vision and language processing ,AGH Advisors,Real life problem solving using Computer vision and language processing ,Work from home,Proven capabilities and interest in computer programming ,"Scalable generic codes, ecosystem architecture ",8,"Applied Statistics and Informatics, Computer Science Engineering, Proven programming capabilities in python",Real life exposure to usage of coding knowledge and capabilities ,"2nd year UG, 1st year MSc, 1st year Mtech",6250
20,Knowledge Virtual Battle Game ( Fan ball),Timemarks Examiner Private Limited,"Present children are addictive to the gaming and cartoon movie. They wish every thing in that format even their education also. Hence there is urgent need to gamification of education to maintain and improve the learning level in our future generation. So for that purpose we are looking for two interns with following requirements: 
1) Need to design a battle game based on given script 
2) Need ro develope the game in UNITY game engine or Blender 
3) Need to connect our real class' Rest API to that newly develope game virtual game;
4) Need to make two characters in blender or any other software ; these two characters will be our brand Id , we will use that everywhere 

",Work from home,One self project for demo . ,"1)Complete two characters design and background designs
2)Animate those charactors and backgrounds using UNITY or any other software
",8,ANY BRANCH,"1) You will get to know how an Edtech startup utilizing the gaming for teaching 
2) You will learn how to built startup 
3) You will make connections in industry 
4) You will get chance to work and learn from your seniors , even currently three students from IITB working in our startup 
5) Improvement  in skills of game design and development while practicing. ","2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D, B.Des, M.Des in IDC department ",5000
21,Critical Event Monitoring in Hydro Power Generation Plant (ML based),KLS Gogte Institute of Technology,"Power generation data to be analyzed to be analyzed for a hydro power plant. Inference to be drawn regarding the critical situations and power outage...since 2015, till date.",Work from home,"Data processing from Excel sheet of event data, basic hydro power plant functioning, dynamic pricing of electricity","Find out the reasons for the critical events happened to the hydro power plant... Proper root cause analysis of data, which should lead to a good journal paper. If work is satisfactory, the student will be included as an author in journal paper as well as in future ML based projects related to the hydro power plant.",8,"Electrical Engineering, Energy Science Engineering, Mechanical Engineering",Satisfactory work will fetch certificate of appreciation from the hydro power plant management. ,"3rd year UG, 1st year Mtech, 1st year Ph.D",2500
22,Scenario based traffic generator 2. IOT annoying APP for smart devices 3. Smart campus using IoT and cloud computing 4. PZT material designing 5. ECG monitoring and designing  app ,Amity University Rajasthan,"1. Its based upon the designing of framework for controlling heavy density load on network.
2. Designing of Machine learning model which can annoy the unwanted message  from mobile or TV.
3. development of smart classroom/campus for pandemic  
4. designing of novel PZT material for high voltage and current
5. Monitoring and diagnosis of ECG using app",Work from home,"Android app, C, C++, Python, Rasbperry Pi and Arduino Interfacing, Machine Learning, Python ",End product and app,6,"Biosciences and Bioengineering, Computer Science Engineering, Electrical Engineering, Energy Science Engineering, Metallurgical Engineering and Materials Science",Opportunity to work as a true production team for the industrial problems,"3rd year UG, 1st year Mtech, 1st year Ph.D",None
23,Application of Janus Nanoparticles,National Institute of Technology Rourkela,Janus Nanoparticles in catalytic applications,Work from home,None,Report/Paper,6,"Chemical Engineering, Environmental Science Engineering",Knowledge on advanced materials,"3rd year UG, 1st year MSc, 1st year Mtech",None
